ACCOUNTNO,PARCELNO,SITUS,PROPERTYCITY
M000002,370135300045,"1313 W OHIO AVE, UNIT 8",GUNNISON
M000003,370135300017,321 N 8TH ST,GUNNISON
M000012,378702213005,"315 REED ST, UNIT 15",GUNNISON
M000013,378702200058,"301 S 2ND ST, UNIT 44",GUNNISON
M000014,378702213005,"314 REED ST, UNIT 14",GUNNISON
M000017,378702233001,"700 US HIGHWAY 50, UNIT 7",GUNNISON
M000020,378702213005,"310 REED ST, UNIT 10",GUNNISON
M000021,378702213005,319 S REED ST,GUNNISON
M000022,378702107007,"502 W GUNNISON AVE, UNIT 3",GUNNISON
M000024,378702200058,"301 S 2ND ST, UNIT 62",GUNNISON
M000025,378702213005,"317 REED ST, UNIT 17",GUNNISON
M000027,378702213005,"325 REED ST, UNIT 25",GUNNISON
M000028,378702201010,"1120 W NEW YORK AVE, UNIT 1",GUNNISON
M000030,378702213005,"301 REED ST, UNIT 1",GUNNISON
M000038,370135446003,"220 N BOULEVARD ST, UNIT 1",GUNNISON
M000042,378700000052,COUNTY ROAD 38,GUNNISON
M000043,378702107001,"507 W NEW YORK AVE, UNIT 4",GUNNISON
M000044,351722012002,"95 GEORGE BAILEY DR, UNIT 40",ALMONT
M000045,378702213005,"302 REED ST, UNIT 2",GUNNISON
M000057,378702200058,"301 S 2ND ST, UNIT 3",GUNNISON
M000066,378702233001,700 US HIGHWAY 50,GUNNISON
M000067,370135300045,"1313 W OHIO AVE, UNIT 38",GUNNISON
M000069,370135437002,"118 N 8TH ST, UNIT 2",GUNNISON
M000071,370135300045,"1313 W OHIO AVE, UNIT 15",GUNNISON
M000085,370135430005,"321 N 10TH ST, UNIT 2",GUNNISON
M000086,370135446003,"220 N BOULEVARD ST, UNIT 13",GUNNISON
M000087,378701238010,"404 W RIO GRANDE AVE, UNIT 12",GUNNISON
M000091,378500000018,"28357 US HIGHWAY 50, UNIT 102",BLUE MESA RESERVOIR AREA
M000092,370135300045,"1313 W OHIO AVE, UNIT 30",GUNNISON
M000095,370135300045,"1313 W OHIO AVE, UNIT 18",GUNNISON
M000097,378702107007,"502 W GUNNISON AVE, UNIT 1",GUNNISON
M000098,370135300045,"1313 W OHIO AVE, UNIT 6",GUNNISON
M000103,378702107001,"507 W NEW YORK AVE, UNIT 3",GUNNISON
M000104,378702200058,"301 S 2ND ST, UNIT 4",GUNNISON
M000105,398300000027,12457 US HIGHWAY 50,PINE CREEK MESA / BLUE MESA AREA
M000107,378702200058,"301 S 2ND ST, UNIT 40",GUNNISON
M000108,370135446003,"220 N BOULEVARD ST, UNIT 3",GUNNISON
M000109,378702200058,"301 S 2ND ST, UNIT 63",GUNNISON
M000111,378702200058,"301 S 2ND ST, UNIT 67",GUNNISON
M000114,378701238007,"404 W RIO GRANDE AVE, UNIT 4",GUNNISON
M000115,378702213005,"303 REED ST, UNIT 3",GUNNISON
M000118,370135332001,117 N 7TH ST,GUNNISON
M000120,378702200058,"301 S 2ND ST, UNIT 37",GUNNISON
M000121,378702200058,"301 S 2ND ST, UNIT 42",GUNNISON
M000123,378701238007,"404 W RIO GRANDE AVE, UNIT 1",GUNNISON
M000126,378702200058,"301 S 2ND ST, UNIT 45",GUNNISON
M000129,370135300045,"1313 W OHIO AVE, UNIT 26",GUNNISON
M000130,378702213005,"306 S REED ST, UNIT 6",GUNNISON
M000131,378702233001,"700 US HIGHWAY 50, UNIT 4",GUNNISON
M000133,378702200058,301 S 2ND ST,GUNNISON
M000134,378702200058,"301 S 2ND ST, UNIT 55",GUNNISON
M000136,378702117004,219 S 11TH ST,GUNNISON
M000137,378702213005,"326 REED ST, UNIT 26",GUNNISON
M000138,370135300045,"1313 W OHIO AVE, UNIT 25",GUNNISON
M000141,378702200058,"301 S 2ND ST, UNIT 59",GUNNISON
M000142,370135430005,"321 N 10TH ST, UNIT 1",GUNNISON
M000148,370135429007,"316 N 10TH ST, UNIT 1",GUNNISON
M000149,378702213005,"322 REED ST, UNIT 22",GUNNISON
M000150,370135437007,"1006 W TOMICHI AVE, UNIT 3",GUNNISON
M000152,370135300045,"1313 W OHIO AVE, UNIT 24",GUNNISON
M000155,378701238010,"404 W RIO GRANDE AVE, UNIT 7",GUNNISON
M000156,378702106003,"614 W GUNNISON AVE, UNIT 1",GUNNISON
M000158,378702200058,"301 S 2ND ST, UNIT 11",GUNNISON
M000161,378702213005,"312 REED ST, UNIT 12",GUNNISON
M000165,378702200058,"301 S 2ND ST, UNIT 53",GUNNISON
M000169,378702201021,"1107 W TOMICHI AVE, UNIT 3",GUNNISON
M000174,378701238010,"404 W RIO GRANDE AVE, UNIT 15",GUNNISON
M000177,378702213005,REED ST,GUNNISON
M000179,378702213005,"316 REED ST, UNIT 16",GUNNISON
M000183,378702117005,211 S 11TH ST,GUNNISON
M000187,370135300045,"1313 W OHIO AVE, UNIT 12",GUNNISON
M000189,378701238010,"404 W RIO GRANDE AVE, UNIT 10",GUNNISON
M000190,378702233001,"700 US HIGHWAY 50, UNIT 1",GUNNISON
M000192,378702200058,"301 S 2ND ST, UNIT 21",GUNNISON
M000193,378702213005,"311 REED ST, UNIT 11",GUNNISON
M000196,370135300045,"1313 W OHIO AVE, UNIT 16",GUNNISON
M000199,378702200058,"301 S 2ND ST, UNIT 19",GUNNISON
M000206,370124000081,"2388 STATE HIGHWAY 135, UNIT 28",GUNNISON
M000208,378702106003,"614 W GUNNISON AVE, UNIT 3",GUNNISON
M000210,370135300045,"1313 W OHIO AVE, UNIT 37",GUNNISON
M000212,378702200058,"301 S 2ND ST, UNIT 24",GUNNISON
M000214,370135300045,"1313 W OHIO AVE, UNIT 39",GUNNISON
M000216,370135300045,"1313 W OHIO AVE, UNIT 28",GUNNISON
M000218,370135429007,"316 N 10TH ST, UNIT 4",GUNNISON
M000223,378533003001,31850 STATE HIGHWAY 149,IOLA - NINE MILE
M000224,378701238010,"404 W RIO GRANDE AVE, UNIT 9",GUNNISON
M000225,370135446003,"220 N BOULEVARD ST, UNIT 7",GUNNISON
M000227,370135300045,"1313 W OHIO AVE, UNIT 33",GUNNISON
M000228,378702213005,"321 REED ST, UNIT 21",GUNNISON
M000231,378702213005,"320 REED ST, UNIT 10",GUNNISON
M000233,378702110004,"312 S BOULEVARD ST, UNIT 1/2",GUNNISON
M000236,378702233001,"700 US HIGHWAY 50, UNIT 6",GUNNISON
M000239,370135300045,"1313 W OHIO AVE, UNIT 19",GUNNISON
M000240,378702200058,"301 S 2ND ST, UNIT 20",GUNNISON
M000243,378702200058,"301 S 2ND ST, UNIT 17",GUNNISON
M000245,378701238010,"404 W RIO GRANDE AVE, UNIT 8",GUNNISON
M000248,370135300045,"1313 W OHIO AVE, UNIT 41",GUNNISON
M000249,370135446003,"220 N BOULEVARD ST, UNIT 20",GUNNISON
M000252,370135300045,"1313 W OHIO AVE, UNIT 40",GUNNISON
M000253,378702200058,"301 S 2ND ST, UNIT 39",GUNNISON
M000254,378702213005,"308 REED ST, UNIT 8",GUNNISON
M000255,378701238007,"404 W RIO GRANDE AVE, UNIT 5",GUNNISON
M000256,378702115004,1000 W NEW YORK AVE,GUNNISON
M000257,378702200058,"301 S 2ND ST, UNIT 50",GUNNISON
M000259,370135429007,"316 N 10TH ST, UNIT 2",GUNNISON
M000260,370135446003,"220 N BOULEVARD ST, UNIT 18",GUNNISON
M000262,378702213005,"318 REED ST, UNIT 18",GUNNISON
M000265,370135431001,"1010 W VIRGINIA AVE, UNIT 25",GUNNISON
M000266,370135432001,"1010 W VIRGINIA AVE, UNIT 17",GUNNISON
M000267,370135431001,"1010 W VIRGINIA AVE, UNIT 37",GUNNISON
M000268,370135431001,"1010 W VIRGINIA AVE, UNIT 39",GUNNISON
M000269,370135431001,"1010 W VIRGINIA AVE, UNIT 42",GUNNISON
M000270,370135431001,"1010 W VIRGINIA AVE, UNIT 36",GUNNISON
M000271,370135431001,"1010 W VIRGINIA AVE, UNIT 43",GUNNISON
M000272,370135432001,"1010 W VIRGINIA AVE, UNIT 11",GUNNISON
M000273,370135432001,"1010 W VIRGINIA AVE, UNIT 10",GUNNISON
M000274,370135431001,"1010 W VIRGINIA AVE, UNIT 30",GUNNISON
M000275,370135432001,"1010 W VIRGINIA AVE, UNIT 9",GUNNISON
M000276,370135431001,"1010 W VIRGINIA AVE, UNIT 38",GUNNISON
M000277,370135431001,"1010 W VIRGINIA AVE, UNIT 41",GUNNISON
M000278,370135431001,"1010 W VIRGINIA AVE, UNIT 29",GUNNISON
M000279,370135431001,"1010 W VIRGINIA AVE, UNIT 27",GUNNISON
M000280,370135432001,"1010 W VIRGINIA AVE, UNIT 4",GUNNISON
M000281,370135432001,"1010 W VIRGINIA AVE, UNIT 6",GUNNISON
M000282,370135432001,"1010 W VIRGINIA AVE, UNIT 2",GUNNISON
M000283,370135432001,"1010 W VIRGINIA AVE, UNIT 8",GUNNISON
M000284,370135432001,"1010 W VIRGINIA AVE, UNIT 1",GUNNISON
M000285,370135432001,"1010 W VIRGINIA AVE, UNIT 15",GUNNISON
M000287,370135432001,"1010 W VIRGINIA AVE, UNIT 20",GUNNISON
M000288,370135432001,"1010 W VIRGINIA AVE, UNIT 19",GUNNISON
M000289,370135432001,"1010 W VIRGINIA AVE, UNIT 21",GUNNISON
M000290,370135432001,"1010 W VIRGINIA AVE, UNIT 5",GUNNISON
M000291,370135432001,"1010 W VIRGINIA AVE, UNIT 7",GUNNISON
M000292,370135432001,"1010 W VIRGINIA AVE, UNIT 3",GUNNISON
M000293,370135432001,"1010 W VIRGINIA AVE, UNIT 16",GUNNISON
M000294,370135432001,"1010 W VIRGINIA AVE, UNIT 14",GUNNISON
M000295,370135431001,"1010 W VIRGINIA AVE, UNIT 40",GUNNISON
M000296,370135431001,"1010 W VIRGINIA AVE, UNIT 32",GUNNISON
M000297,370135431001,"1010 W VIRGINIA AVE, UNIT 22",GUNNISON
M000298,370135431001,"1010 W VIRGINIA AVE, UNIT 34",GUNNISON
M000299,370135431001,"1010 W VIRGINIA AVE, UNIT 31",GUNNISON
M000301,370135431001,"1010 W VIRGINIA AVE, UNIT 35",GUNNISON
M000302,370135431001,"1010 W VIRGINIA AVE, UNIT 23",GUNNISON
M000304,370135431001,"1010 W VIRGINIA AVE, UNIT 28",GUNNISON
M000305,370135431001,"1010 W VIRGINIA AVE, UNIT 26",GUNNISON
M000306,378702107007,"502 W GUNNISON AVE, UNIT 2",GUNNISON
M000309,378702213005,"307 S REED ST, UNIT 7",GUNNISON
M000311,378701238007,"404 W RIO GRANDE AVE, UNIT 2",GUNNISON
M000313,378702107001,"507 W NEW YORK AVE, UNIT 1",GUNNISON
M000319,370135300045,"1313 W OHIO AVE, UNIT 29",GUNNISON
M000321,370135300045,"1313 W OHIO AVE, UNIT 17",GUNNISON
M000323,378702200058,"301 S 2ND ST, UNIT 36",GUNNISON
M000324,378702213005,"305 S REED ST, UNIT 5",GUNNISON
M000326,378702233001,"700 US HIGHWAY 50, UNIT 11",GUNNISON
M000328,370124011013,19 PONDEROSA LN,GUNNISON
M000330,343700000019,,OHIO CREEK VALLEY
M000335,378702201021,"1107 W TOMICHI AVE, UNIT 1",GUNNISON
M000337,370135300045,"1313 W OHIO AVE, UNIT 21",GUNNISON
M000339,378702233001,700 US HIGHWAY 50,GUNNISON
M000340,378701238007,"404 W RIO GRANDE AVE, UNIT 6",GUNNISON
M000344,378701238007,"404 W RIO GRANDE AVE, UNIT 3",GUNNISON
M000345,370135300045,"1313 W OHIO AVE, UNIT 35",GUNNISON
M000348,370135437002,118 N 8TH ST,GUNNISON
M000350,370135300045,"1313 W OHIO AVE, UNIT 27",GUNNISON
M000351,378702200058,"301 S 2ND ST, UNIT 41",GUNNISON
M000352,378702200058,"301 S 2ND ST, UNIT 27",GUNNISON
M000355,378702233001,"700 US HIGHWAY 50, UNIT 12",GUNNISON
M000357,378702200058,301 S 2ND ST,GUNNISON
M000358,370135300045,"1313 W OHIO AVE, UNIT 7",GUNNISON
M000371,378702233001,"700 US HIGHWAY 50, UNIT 5",GUNNISON
M000372,370124000081,"2388 STATE HIGHWAY 135, UNIT 36",GUNNISON
M000374,370124000081,"2388 STATE HIGHWAY 135, UNIT 44",GUNNISON
M000493,378702107001,"507 W NEW YORK AVE, UNIT 2",GUNNISON
M000495,370124000081,"2388 STATE HIGHWAY 135, UNIT 39",GUNNISON
M000498,378702200058,"301 S 2ND ST, UNIT 7",GUNNISON
M002474,325503126022,119 TEOCALLI AVE,CRESTED BUTTE
M002478,370135300045,"1313 W OHIO AVE, UNIT 5",GUNNISON
M002481,325503126026,13 SECOND ST,CRESTED BUTTE
M002488,325503126015,105 TEOCALLI AVE,CRESTED BUTTE
M002490,325503129005,112 TEOCALLI AVE,CRESTED BUTTE
M002493,398100000024,12900 COUNTY ROAD 26,
M002497,325503126011,"104 BUTTE AVE, UNIT 15",CRESTED BUTTE
M003615,369110209003,618 STATE ST,PITKIN
M003617,369105000023,,QUARTZ CREEK AREA
M003622,369109136006,215 MAIN ST,PITKIN
M003624,369109137012,323 MAIN ST,PITKIN
M003625,369110210004,708 STATE ST,PITKIN
M003626,369109137013,323 MAIN ST,PITKIN
M003627,369109407003,3 QUARTZ LN,PITKIN
M003945,291726141003,123 E 2ND ST,MARBLE
M006346,378129100008,3200 COUNTY ROAD 721,SOAP MESA AREA
M006348,370124000081,"2388 STATE HIGHWAY 135, UNIT 46",GUNNISON
M006351,378702115004,"1000 W NEW YORK AVE, UNIT 3",GUNNISON
M006354,370124000081,"2388 STATE HIGHWAY 135, UNIT 25",GUNNISON
M006355,370122301011,20 FAWN DR,ANTELOPE CREEK AREA
M006356,369932000004,41965 US HIGHWAY 50,GUNNISON
M006359,370134000024,1549 COUNTY ROAD 17,ANTELOPE CREEK AREA
M006361,378500000018,"28357 US HIGHWAY 50, UNIT 209",BLUE MESA RESERVOIR AREA
M006365,397100000016,STATE HIGHWAY 114,COCHETOPE CREEK DRAINAGE
M006366,379100000042,4274 STATE HIGHWAY 114,COCHETOPE CREEK DRAINAGE
M006370,378500000012,133 COUNTY ROAD 726,GUNNISON
M006373,370122301006,89 MESA LOOP,ANTELOPE CREEK AREA
M006377,370124000081,"2388 STATE HIGHWAY 135, UNIT 48",GUNNISON
M006378,351722012002,"95 GEORGE BAILEY DR, UNIT 5",ALMONT
M006380,370124000081,"2388 STATE HIGHWAY 135, UNIT 50",GUNNISON
M006385,369526200013,8385 COUNTY ROAD 76,OHIO CITY
M006391,370122305002,20 SAGE LN,ANTELOPE CREEK AREA
M006395,351500000013,4408 COUNTY ROAD 730,OHIO CREEK VALLEY
M006396,378700000052,5700 COUNTY ROAD 38,GOLD BASIN AREA
M006397,369932000003,US HIGHWAY 50,GUNNISON
M006400,379300000054,4180 COUNTY ROAD 76,PARLIN
M006402,370124000081,"2388 STATE HIGHWAY 135, UNIT 31",GUNNISON
M006403,370124000081,"2388 STATE HIGHWAY 135, UNIT 38",GUNNISON
M006404,370124000081,"2388 STATE HIGHWAY 135, UNIT 37",GUNNISON
M006406,370124000081,"2388 STATE HIGHWAY 135, UNIT 58",GUNNISON
M006407,370124000081,"2388 STATE HIGHWAY 135, UNIT 53",GUNNISON
M006410,370124000081,"2388 STATE HIGHWAY 135, UNIT 56",GUNNISON
M006411,370124000081,"2388 STATE HIGHWAY 135, UNIT 55",GUNNISON
M006412,370124000081,"2388 STATE HIGHWAY 135, UNIT 12",GUNNISON
M006413,370124000081,"2388 STATE HIGHWAY 135, UNIT 57",GUNNISON
M006414,370124000081,"2388 STATE HIGHWAY 135, UNIT 51",GUNNISON
M006415,370125000002,2080 STATE HIGHWAY 135,GUNNISON
M006416,370125000002,2082 STATE HIGHWAY 135,GUNNISON
M006417,378702233001,"700 US HIGHWAY 50, UNIT 10",GUNNISON
M006421,370125000010,1676 STATE HIGHWAY 135,GUNNISON
M006422,378708001007,24 PHYLLIS LN,GUNNISON
M006429,370124000081,"2388 STATE HIGHWAY 135, UNIT 7",GUNNISON
M006431,397100000016,STATE HIGHWAY 114,COCHETOPE CREEK DRAINAGE
M006438,378702200058,"301 S 2ND ST, UNIT 35",GUNNISON
M006440,351722012002,"95 GEORGE BAILEY DR, UNIT 18",ALMONT
M006445,370125000035,STATE HIGHWAY 135,GUNNISON
M006450,351722012002,"95 GEORGE BAILEY DR, UNIT 6",ALMONT
M006469,351722012002,"95 GEORGE BAILEY DR, UNIT 3",ALMONT
M006472,370124011007,31 PONDEROSA LN,GUNNISON
M006474,405300000118,438 COUNTY ROAD 29,POWDERHORN AREA
M006478,378702106003,"614 W GUNNISON AVE, UNIT 10",GUNNISON
M006482,370100000218,607 COUNTY ROAD 730,OHIO CREEK VALLEY
M006489,378500000018,"28357 US HIGHWAY 50, UNIT 18",BLUE MESA RESERVOIR AREA
M006490,370135300045,"1313 W OHIO AVE, UNIT 2",GUNNISON
M006491,378708000028,"36128 US HIGHWAY 50, UNIT K",GUNNISON
M006504,369500000030,7006 COUNTY ROAD 76,PARLIN
M006507,378500000028,33000 STATE HIGHWAY 149,IOLA - NINE MILE
M006512,351722012002,"95 GEORGE BAILEY DR, UNIT 29",ALMONT
M006513,370124000081,"2388 STATE HIGHWAY 135, UNIT 4",GUNNISON
M006515,378703400022,37898 US HIGHWAY 50,GUNNISON
M006518,370124000081,"2388 STATE HIGHWAY 135, UNIT 1",GUNNISON
M006523,378903000004,44400 US HIGHWAY 50,TOMICHI CREEK
M006524,351722012002,"95 GEORGE BAILEY DR, UNIT 12",ALMONT
M006526,378702201010,"1120 W NEW YORK AVE, UNIT 3",GUNNISON
M006530,379300000024,55581 US HIGHWAY 50,TOMICHI CREEK
M006532,378500000018,"28357 US HIGHWAY 50, UNIT 327",BLUE MESA RESERVOIR AREA
M006533,370125000035,1188 STATE HIGHWAY 135,GUNNISON
M006538,370124000081,"2388 STATE HIGHWAY 135, UNIT 41",GUNNISON
M006541,370122304011,4 RIDGE LN,ANTELOPE CREEK AREA
M006542,351722012002,"95 GEORGE BAILEY DR, UNIT 19",ALMONT
M006543,351722012002,"95 GEORGE BAILEY DR, UNIT 28",ALMONT
M006547,378708000058,"301 S 2ND ST, UNIT 12",GUNNISON
M006548,351722012002,"95 GEORGE BAILEY DR, UNIT 22",ALMONT
M006556,351722012002,"95 GEORGE BAILEY DR, UNIT 23",ALMONT
M006558,378708000028,"36128 US HIGHWAY 50, UNIT R",GUNNISON
M006559,351722012002,"95 GEORGE BAILEY DR, UNIT 24",ALMONT
M006570,378702200058,"301 S 2ND ST, UNIT 2",GUNNISON
M006571,351722012002,"95 GEORGE BAILEY DR, UNIT 14",ALMONT
M006577,378700000092,94 PHELPS LN,GUNNISON
M006581,351700000013,24 LUCILE PL,GUNNISON
M006583,370122304069,316 MESA LOOP,ANTELOPE CREEK AREA
M006584,370124000081,"2388 STATE HIGHWAY 135, UNIT 34",GUNNISON
M006585,351722012002,"95 GEORGE BAILEY DR, UNIT 41",ALMONT
M006587,370124000081,"2388 STATE HIGHWAY 135, UNIT 52",GUNNISON
M006590,370124000081,"2388 STATE HIGHWAY 135, UNIT 10",GUNNISON
M006591,378704000003,851 COUNTY ROAD 18,GUNNISON
M006592,351722012002,"95 GEORGE BAILEY DR, UNIT 26",ALMONT
M006594,424300000051,616 COUNTY ROAD 28,POWDERHORN AREA
M006596,378708001011,4 PHYLLIS LN,GUNNISON
M006601,370124000081,"2388 STATE HIGHWAY 135, UNIT 45",GUNNISON
M006603,378500000018,"28357 US HIGHWAY 50, UNIT 108",BLUE MESA RESERVOIR AREA
M006608,370122301025,45 FAWN DR,ANTELOPE CREEK AREA
M006609,378702200058,"301 S 2ND ST, UNIT 14",GUNNISON
M006614,370124000081,"2388 STATE HIGHWAY 135, UNIT 20",GUNNISON
M006615,378500000018,"28357 US HIGHWAY 50, UNIT 101",BLUE MESA RESERVOIR AREA
M006617,378500000018,"28357 US HIGHWAY 50, UNIT 103",BLUE MESA RESERVOIR AREA
M006621,378702115004,"1000 W NEW YORK AVE, UNIT 4",GUNNISON
M006622,351722012002,"95 GEORGE BAILEY DR, UNIT 11",ALMONT
M006625,370122305004,16 SAGE LN,ANTELOPE CREEK AREA
M006626,378702201010,"1120 W NEW YORK AVE, UNIT 2",GUNNISON
M006628,378702213005,"324 REED ST, UNIT 24",GUNNISON
M006630,378703400027,"38110 US HIGHWAY 50, UNIT 2",GUNNISON
M006631,370124000081,"2388 STATE HIGHWAY 135, UNIT 24",GUNNISON
M006632,378702213005,"323 REED ST, UNIT 23",GUNNISON
M006637,370124000081,"2388 STATE HIGHWAY 135, UNIT 6",GUNNISON
M006642,370124011026,10 QUAKEY LN,GUNNISON
M006643,370124000081,"2388 STATE HIGHWAY 135, UNIT 2",GUNNISON
M006645,351722012002,"95 GEORGE BAILEY DR, UNIT 37",ALMONT
M006646,378500000018,"28357 US HIGHWAY 50, UNIT 120",BLUE MESA RESERVOIR AREA
M006648,370135446003,"220 N BOULEVARD ST, UNIT 11",GUNNISON
M006649,378702200058,"301 S 2ND ST, UNIT 61",GUNNISON
M006654,351722012002,"95 GEORGE BAILEY DR, UNIT 17",ALMONT
M006655,397100000016,STATE HIGHWAY 114,COCHETOPE CREEK DRAINAGE
M006656,351722012002,"95 GEORGE BAILEY DR, UNIT 16",ALMONT
M006658,370124000081,"2388 STATE HIGHWAY 135, UNIT 49",GUNNISON
M006660,351714401011,1490 COUNTY ROAD 742,TAYLOR RIVER CANYON
M006665,351722012002,"95 GEORGE BAILEY DR, UNIT 27",ALMONT
M006667,370135446003,"220 N BOULEVARD ST, UNIT 17",GUNNISON
M006668,370124000081,"2388 STATE HIGHWAY 135, UNIT 30",GUNNISON
M006672,370125000033,1242 STATE HIGHWAY 135,GUNNISON
M006674,351722012002,"95 GEORGE BAILEY DR, UNIT 31",ALMONT
M006675,370135446003,"220 N BOULEVARD ST, UNIT 14",GUNNISON
M006677,378708001010,8 PHYLLIS LN,GUNNISON
M006680,378702200058,"301 S 2ND ST, UNIT 75",GUNNISON
M006682,370124000081,"2388 STATE HIGHWAY 135, UNIT 29",GUNNISON
M006684,378702115004,"1000 W NEW YORK AVE, UNIT 2",GUNNISON
M006685,378704000003,853 COUNTY ROAD 18,GUNNISON
M006687,378708001009,14 PHYLLIS LN,GUNNISON
M006696,378708001013,3 PHYLLIS LN,GUNNISON
M006699,370124000082,194 COUNTY ROAD 11,GUNNISON
M006700,370124000081,"2388 STATE HIGHWAY 135, UNIT 70",GUNNISON
M006702,351722012002,"95 GEORGE BAILEY DR, UNIT 8",ALMONT
M006704,370124011003,39 PONDEROSA LN,GUNNISON
M006707,351722012002,"95 GEORGE BAILEY DR, UNIT 30",ALMONT
M006708,379114300005,,PARLIN
M006713,351722012002,"95 GEORGE BAILEY DR, UNIT 15",ALMONT
M006719,370124000081,"2388 STATE HIGHWAY 135, UNIT 23",GUNNISON
M011061,370135446003,"220 N BOULEVARD ST, UNIT 6",GUNNISON
M011063,398300000109,US HIGHWAY 50,SAPINERO AREA
M011065,369932000003,41883 US HIGHWAY 50,GUNNISON
M011069,326300001001,1711 COUNTY ROAD 55,TAYLOR PARK
M011075,398300000027,,
M011076,326300000004,24947 COUNTY ROAD 765,TINCUP AREA
M014632,398700000002,,
M016201,398500000076,8301 US HIGHWAY 50,PINE CREEK MESA / BLUE MESA AREA
M017577,431300000039,STATE HIGHWAY 149,LAKE FORK OF THE GUNNISON DRAINAGE
M017578,370122301014,51 DOE CIR,ANTELOPE CREEK AREA
M017582,378702213005,"327 REED ST, UNIT 27",GUNNISON
M017810,378500000018,"28357 US HIGHWAY 50, UNIT 217",BLUE MESA RESERVOIR AREA
M017813,325503126020,115 TEOCALLI AVE,CRESTED BUTTE
M024626,378702200058,"301 S 2ND ST, UNIT 28",GUNNISON
M024627,370124000081,"2388 STATE HIGHWAY 135, UNIT 68",GUNNISON
M024629,370124000081,"2388 STATE HIGHWAY 135, UNIT 5",GUNNISON
M024631,370135429007,"316 N 10TH ST, UNIT 3",GUNNISON
M024636,370124011024,14 QUAKEY LN,GUNNISON
M024637,378702233001,"700 US HIGHWAY 50, UNIT 8",GUNNISON
M024641,370122306010,332 MESA LOOP,ANTELOPE CREEK AREA
M024642,351722012002,"95 GEORGE BAILEY DR, UNIT 13",ALMONT
M024644,351722012002,"95 GEORGE BAILEY DR, UNIT 21",ALMONT
M024645,351722012002,"95 GEORGE BAILEY DR, UNIT 20",ALMONT
M025323,378702200058,"301 S 2ND ST, UNIT 10",GUNNISON
M025327,378702200058,"301 S 2ND ST, UNIT 34",GUNNISON
M025455,378708000028,"36128 US HIGHWAY 50, UNIT V & W",GUNNISON
M025556,378702200058,"301 S 2ND ST, UNIT 5",GUNNISON
M025557,378702200058,"301 S 2ND ST, UNIT 1",GUNNISON
M025769,369100000013,14214 COUNTY ROAD 76,PITKIN
M025934,379123000008,208 COUNTY ROAD 75,PARLIN
M025991,370135429007,"316 N 10TH ST, UNIT 5",GUNNISON
M026025,298900000016,15488 STATE HIGHWAY 133,MCCLURE PASS AREA
M026409,378500000028,"33000 STATE HIGHWAY 149, UNIT 2",IOLA - NINE MILE
M026410,370124000081,"2388 STATE HIGHWAY 135, UNIT 27",GUNNISON
M026505,378702200058,"301 S 2ND ST, UNIT 57",GUNNISON
M026520,370124000081,"2388 STATE HIGHWAY 135, UNIT 18",GUNNISON
M026522,378500000028,33000 STATE HIGHWAY 149,IOLA - NINE MILE
M026584,378702233001,"700 W HIGHWAY 50 FRONTAGE RD, UNIT 9",GUNNISON
M026801,370124000081,"2388 STATE HIGHWAY 135, UNIT 43",GUNNISON
M026802,378702200058,"301 S 2ND ST, UNIT 18",GUNNISON
M026803,378702200058,"301 S 2ND ST, UNIT 58",GUNNISON
M026957,378500000018,"28357 US HIGHWAY 50, UNIT 112",BLUE MESA RESERVOIR AREA
M027357,378702200058,"301 S 2ND ST, UNIT 43",GUNNISON
M027381,378500000018,"28357 US HIGHWAY 50, UNIT 117",BLUE MESA RESERVOIR AREA
M027447,318300000074,8957 STATE HIGHWAY 133,SOMERSET
M027448,378702200058,"301 S 2ND ST, UNIT 47",GUNNISON
M027479,378500000018,"28357 US HIGHWAY 50, UNIT 111",BLUE MESA RESERVOIR AREA
M027480,398500000071,9035 US HIGHWAY 50,PINE CREEK MESA / BLUE MESA AREA
M027520,370124000081,"2388 STATE HIGHWAY 135, UNIT 11",GUNNISON
M027522,378702200058,"301 S 2ND ST, UNIT 60",GUNNISON
M027711,370124000081,"2388 STATE HIGHWAY 135, UNIT 42",GUNNISON
M027730,378702213005,REED ST,GUNNISON
M027731,378702200058,"301 S 2ND ST, UNIT 9",GUNNISON
M027816,378702143006,614 S 14TH ST,GUNNISON
M027913,370135300045,"1313 W OHIO AVE, UNIT 32",GUNNISON
M027914,378500000014,"27601 US HIGHWAY 50, UNIT 39",BLUE MESA RESERVOIR AREA
M027915,378702200058,"301 S 2ND ST, UNIT 74",GUNNISON
M027916,378702233001,"700 US HIGHWAY 50, UNIT 14",GUNNISON
M027918,370135300045,"1313 W OHIO AVE, UNIT 4",GUNNISON
M027921,378500000018,"28357 US HIGHWAY 50, UNIT 118",BLUE MESA RESERVOIR AREA
M027922,378500000018,"28357 US HIGHWAY 50, UNIT 104",BLUE MESA RESERVOIR AREA
M027923,378500000018,"28357 US HIGHWAY 50, UNIT 119",BLUE MESA RESERVOIR AREA
M027988,325503126014,103 TEOCALLI AVE,CRESTED BUTTE
M030094,378500000018,"28357 US HIGHWAY 50, UNIT 106",BLUE MESA RESERVOIR AREA
M030098,370135300045,"1313 W OHIO AVE, UNIT 3",GUNNISON
M030101,378702200058,"301 S 2ND ST, UNIT 70",GUNNISON
M030103,378500000018,"28357 US HIGHWAY 50, UNIT 116",BLUE MESA RESERVOIR AREA
M030106,405300000104,18365 STATE HIGHWAY 149,POWDERHORN AREA
